origin,dest,distance
-122.304616447.6478106,-122.304613847.6476887,0
-122.304067847.6440274,-122.304098147.6440748,0
-122.309634247.6612509,-122.30971847.6611832,0
-122.309660847.6597571,-122.309467547.6597543,0
-122.277674847.7029473,-122.277678147.702709,0
-122.278322147.7050672,-122.277929247.7045786,1
-122.277929247.7045786,-122.277799347.704382,1
-122.277724247.6993404,-122.277732447.6990533,3
-122.277699647.7011383,-122.277719447.6996932,1
-122.280169847.7088894,-122.280050747.708644,2
-122.281005747.7106961,-122.280312647.7091981,2
-122.283114747.7159973,-122.28307747.7159354,0
-122.281831847.7124185,-122.28173647.7122188,0
-122.2838908741549247.7173030893634,-122.283722147.7170192,0
-122.279248347.7069896,-122.278490147.7053612,0
-122.302724747.6581335,-122.302768147.6580675,1
-122.322542447.6549912,-122.322541947.654694,0
-122.315184347.6535999,-122.314640347.6535921,0
-122.3145528890994347.57169968973762,-122.314552247.5717454,0
-122.31455447.571626,-122.3145528890994347.57169968973762,0
-122.321131747.6746024,-122.32096866017647.67442503269545,0
-122.32056547.6739859,-122.320394347.6737966,3
-122.32096866017647.67442503269545,-122.32056547.6739859,0
-122.321761447.6801675,-122.32182547.6801931,5
-122.321418747.6798658,-122.321587847.6800464,2
-122.320068347.6795133,-122.320153247.6795182,0
-122.3207379363507547.679588793943644,-122.320841947.6796054,0
-122.320153247.6795182,-122.320649747.6795747,0
-122.344510247.6811263,-122.344218947.6813386,3
-122.344093847.6814337,-122.344254747.6813994,2
-122.313708847.65159,-122.313717347.6516526,1
-122.335085847.6905476,-122.335533447.6905483,0
-122.333341247.6905465,-122.335085847.6905476,3
-122.329875647.6905217,-122.330543947.6905474,2
-122.325112747.6867887,-122.325405847.6870274,0
-122.3291507366583947.69039161577705,-122.32921947.6904179,0
-122.3288991918251647.69026990505704,-122.328940647.6902959,0
-122.328542647.6899415,-122.328618547.6900411,0
-122.331141647.6904973,-122.3308192715665847.69045163755285,0
-122.3308192715665847.69045163755285,-122.330782347.6904464,0
-122.327571147.6871198,-122.327407447.6869914,0
-122.327571147.6871198,-122.327538447.6870471,0
-122.347308647.6662498,-122.347305347.6660721,0
-122.323781447.5941478,-122.323781247.5941786,0
-122.323313147.5930976,-122.32344547.5931703,0
-122.323775947.5949871,-122.323774847.5951511,1
-122.323313147.5930976,-122.323525947.5930935,0
-122.322769247.5927782,-122.323313147.5930976,0
-122.319721547.5521058,-122.319768535997147.552090884222395,2
-122.319768535997147.552090884222395,-122.319900347.5520491,4
-122.32073447.5504278,-122.320845147.550028,0
-122.3197428199759347.552066849462435,-122.319721547.5521058,2
-122.320736347.5495774,-122.320456847.5504144,2
-122.32025247.5510268,-122.320219247.5511248,4
-122.320456847.5504144,-122.320281747.550938,3
-122.32089547.5492844,-122.320767947.5494893,2
-122.309735147.6701288,-122.309811147.6701428,0
