origin,dest,distance
-122.31013347.6164493,-122.309500947.6164515,0.92414182
-122.30614905344747.6172551505485,-122.306157547.617266,0.999841564
-122.305829747.6171284,-122.305966447.6171369,0.999841564
-122.290208947.6250006,-122.290107947.6250004,0.268941421
-122.289557147.6249996,-122.289234947.6249969,0.5
-122.293130747.6249564,-122.292563547.6249587,0.817574476
-122293717847624721,-122.293668447.6247664,0.377540669
-12229621446247604762281865920700,-122.296195747.6228314,0.97702263
-122.29668147.6225018,-122.29630647.6227565,0.993307149
-122.297069947.6222777,-122.29668147.6225018,0.851952802
-122.2950983228347.6242259275384,-122.295191747.6242843,0.679178699
-122.295092247.6242221,-122.2950983228347.6242259275384,0.93991335
-122.294827347.6188939,-122.29482710804347.6189012891593,0.0000354
-122.2948547.6225088,-122.294828747.6236747,0.000000832
-122.294794147.6201719,-122.294778747.6213443,0.00000226
-122.294778747.6213443,-122.294831847.6214203,6.83E-08
-122.29482710804347.6189012891593,-122.294794147.6201719,0.000000238
-122.293189947.6213359,-122.293172147.6224967,0.999447221
-122.29316247.6236743,-122.293129247.6249041,0.047425873
-122.293172147.6224967,-122.29316247.6236743,0.622459331
-122.293510947.6188834,-122.29351057491147.618899524403,0.999796573
-122.293484447.6201648,-122.293463247.6213354,0.999447221
-122.29351057491147.618899524403,-122.293509447.6189578,0.999999496
-122.293785747.621341,-122.293765247.6225033,0.003172683
-122.293741847.623672,-122.293717847.624721,0.000123
-122.293765247.6225033,-122.293741847.623672,0.01798621
-122.297667247.6243711,-122.297668347.6251691,0.0000961
-122.29727589056847.6227470755617,-122.297368347.6228168,0.00116951
-122.297274247.6227458,-122.29727589056847.6227470755617,0.92414182
-122.297069947.6222777,-122.297190147.6223628,0.817574476
-122.297273147.6189103,-122.297256347.6201872,0.994779874
-122.297262447.6213517,-122.297252847.6219562,0.994779874
-122.297256347.6201872,-122.297262447.6213517,0.99973881
-122.301462847.6115779,-122.301439247.6129411,0.000013
-122.301485947.6100251,-122.301462847.6115779,0.002472623
-122.301239647.6176647,-122.301192947.6177289,0.622459331
-122.301415147.6141541,-122.301389647.6153015,0.000123
-122.301369247.6164743,-122.301361447.6169997,0.320821301
-122.301389647.6153015,-122.301369247.6164743,0.000158
-122.301439247.6129411,-122.301415147.6141541,0.0000214
-122.291108347.6249579,-122.291057647.6250097,0.010986943
-122.291237547.6201511,-122.291233847.6211054,7.58E-10
-122.291232947.6213261,-122.291202247.6224896,1.39E-11
-122.291265547.6188773,-122.291237547.6201511,0.000000306
-122.291157847.6236454,-122.291121447.6246115,0.0000583
-122.291202247.6224896,-122.291199747.6225649,0.001926735
-122.307306347.62442,-122.30730547.6249286,0.97702263
-122.307318947.6232348,-122.307306347.62442,0.999995215
-122.307402847.6190046,-122.30738747.6196794,0.437823499
-122.307362347.6204794,-122.307340647.6212205,0.904650535
-122.307331547.6220672,-122.307330947.6221192,0.999941709
-122.30738747.6196794,-122.307374347.6200913,0.851952802
-122.307408747.6185035,-122.307402847.6190046,0.985936373
-122.303649347.6184451,-122.303638447.6191833,0.997527377
-122.303560647.6244049,-122.303574947.6252161,0.985936373
-122.303567247.6231836,-122.303560647.6244049,0.904650535
-122.30362347.6202194,-122.303614447.6213834,0.5
-122.303614447.6213834,-122.303567247.6231836,0.000203
-122.30793147.6204884,-122.307583247.6204829,0.92414182
-122.306071647.6204819,-122.305879147.6204732,0.999983299
-122.307362347.6204794,-122.307174547.6204809,0.993307149
-122.308756747.6204843,-122.30793147.6204884,0.5
-122.310058747.620483,-122.309380547.6204823,0.377540669
-122.30473447.6213814,-122.303614447.6213834,0.000261
-122.301193547.621368,-122.300651847.6213644,0.119202922
-122.303614447.6213834,-122.302496347.6213772,0.904650535
-122.302496347.6213772,-122.301884847.6213705,0.999447221
-122.296202947.6126154,-122.29620347.6125839,0.437823499
-122.296199447.6116226,-122.296206647.6102575,0.880797078
-122.30609647.6185046,-122.306081647.6196755,0.996827317
-122.306074947.6202164,-122.306071647.6204819,0.93991335
-122.306081647.6196755,-122.306074947.6202164,0.851952802
-122.291969747.6236499,-122.291873747.6236494,0.000431
-122.294828747.6236747,-122.294670647.6236801,0.0000748
-122.29316247.6236743,-122.292577447.6236623,0.0000167
-122.293741847.623672,-122.29316247.6236743,0.004070138
-122.291157847.6236454,-122.291026347.6236445,0.679178699
-122.30793147.6204884,-122.30790847.6213989,0.622459331
-122.308807447.6176102,-122.308120747.6176052,0.970687769
-122.310133147.6176127,-122.30948547.6176111,0.98201379
-122.290115947.6210573,-122.290099447.6210988,0.731058579
-122.289904247.618341,-122.28997096176747.6183820189985,0.437823499
-122.28997096176747.6183820189985,-122.290148547.6184911,0.437823499
-122.289557147.6249996,-122.289531347.6261737,0.5
-122.304787147.618497,-122.304765347.6202166,0.999903898
-122.306081647.6196755,-122.305384347.6196701,0.777299861
-122.290326247.6140663,-122.289308747.6140642,0.000203
-122.293712447.6141018,-122.292501347.6140821,1.96E-08
-122.292501347.6140821,-122.291383247.6140747,0.00000789
-122.296184847.6141268,-122.294877947.6141085,6.83E-08
-122.294877947.6141085,-122.294250947.6141049,5.60E-09
-122.2961865497547.6141268089661,-122.296184847.6141268,0.01798621
-122.291383247.6140747,-122.290326247.6140663,0.00000614
-122.289308747.6140642,-122.288744147.6140672,0.880797078
-122.302683247.614165,-122.30267490312547.6141649286839,0.989013057
-122.30267490312547.6141649286839,-122.301415147.6141541,0.268941421
-122.298790547.6141404,-122.298165847.6141371,0.000000238
-122.297493847.6141336,-122.296828847.6141301,0.00071
-122.300093447.6141472,-122.299428447.6141437,0.000000504
-122.301415147.6141541,-122.300725947.6141505,0.01798621
-122.29980847.6243862,-122.299792347.6251842,0.817574476
-122.299892947.6213661,-122.299809747.6243253,0.005220126
-122.299900247.6209857,-122.299898247.6210874,0.148047198
-122.29989998362347.6209644662895,-122.299900247.6209857,0.222700139
-122.299871447.618921,-122.299892147.6202031,0.995929862
-122.299892147.6202031,-122.299898747.6208385,0.731058579
-122.291476247.6116489,-122.291436547.6129189,0.952574127
-122.291490947.6104262,-122.291476247.6116489,0.622459331
-122.308814447.6190046,-122.307402847.6190046,0.119202922
-122.302459147.6231724,-122.302455247.6234124,0.999999607
-122.302439247.6244017,-122.302430247.6249613,0.99973881
-122.302469647.6226624,-122.30246347.622984,0.999964644
-122.302522247.6202155,-122.302513647.6206027,0.999997098
-122.302496347.6213772,-122.302480147.6221589,0.999972464
-122.30738747.6196794,-122.306739347.6196775,0.731058579
-122.310070347.6196811,-122.309474447.6196809,0.817574476
-122.308770947.6196784,-122.30738747.6196794,0.777299861
-122.289822747.6201587,-122.289083447.620154,0.047425873
-122.289083447.620154,-122.28796347.620145,0.047425873
-122.30102847.6202099,-122.30102732495247.6202098960439,0.962673113
-122.292315847.6201576,-122.291237547.6201511,0.000013
-122.293484447.6201648,-122.293384647.6201642,0.437823499
-122.2960969113247.6201800764143,-122.29544447.6201764,0.006692851
-122.294794147.6201719,-122.294153547.6201684,0.880797078
-122.299892147.6202031,-122.298574747.6202021,0.92414182
-122.298574747.6202021,-122.297958447.6201919,0.970687769
-122.296101147.6201801,-122.2960969113247.6201800764143,0.268941421
-122.297256347.6201872,-122.296101147.6201801,0.777299861
-122.30102732495247.6202098960439,-122.300840347.6202088,0.989013057
-122.29668147.6225018,-122.296563147.6225052,0.985936373
-122.302469647.6226624,-122.30118647.6226524,0.996827317
-122.294877947.6141085,-122.294865447.6152854,5.60E-09
-122.294853247.6164452,-122.294840847.6176205,5.60E-09
-122.294865447.6152854,-122.294853247.6164452,1.03E-10
-122.294897447.613196,-122.294877947.6141085,0.00000373
-122.294840847.6176205,-122.294827347.6188939,9.74E-10
-122.294936347.6100271,-122.294934847.6116797,0.0000961
-122.294934847.6116797,-122.294926847.6127005,0.000013
-122.288779547.6185692,-122.288876947.6186532,0.000123
-122.288738247.6193102,-122.289001147.6194648,0.002472623
-122.30757447.6103633,-122.307562447.610405,0.01798621
-122.307542347.6115333,-122.307534747.6129089,0.962673113
-122.30126409535247.6200471992859,-122.301265747.620049,0.93991335
-122.30119447.6189284,-122.301194847.6190127,0.679178699
